clave,gib_16_urbano,gib_18_urbano,gib_16_rural,gib_18_rural,grupo,grupo2,uno_u,uno_r,gto_u,gto_r,num_u,num_r,pje_gasto_r,pje_gasto_u
L007,5.1541454274542,4.85086708347502,1.2650638094762,1.1906253865473,L,Artículos de esparcimiento,1,1,13.0625484430197,3.52088070651769,8,3,0.151986544855366,0.392811625813043
H100,0.0708915604755981,0.0742643771806822,0.206186428269754,0.215996185947034,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
I004,0.466980859996992,0.517005573813204,0.35421627982149,0.392161235482473,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I011,0.221254076152068,0.24212413438129,0.23688534167556,0.259229837923486,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I021,0.958150978246988,1.08113852399229,0.384109251362914,0.433413228706465,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
K014,1.10568528561661,1.21592525758428,0.19463551374465,0.214041228786934,K,Enseres domésticos y mantenimiento de la vivienda,1,1,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
L002,0.554279538469245,0.540656805723137,,,L,Artículos de esparcimiento,1,,13.0625484430197,3.52088070651769,8,3,0.151986544855366,0.392811625813043
J060,0.496164589563268,0.572730236140358,0.365017758791291,0.421345480079453,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
H112,0.294469764794976,0.308479789897817,0.26526587068539,0.277886458438488,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H118,0.459642354055732,0.481510816249578,0.621280462138647,0.650839200967155,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
I002,0.53036880375896,0.583959916352572,0.978953658071237,1.07787202457732,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I019,1.50901655704248,1.65146720545265,1.07917883781517,1.18105295210493,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I020,0.182153864240578,0.200228755571301,0.118615824975838,0.130385919206234,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I026,0.38457816351406,0.422739355112526,0.242108583833445,0.266132704108187,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
J048,0.118502432513915,0.132959461939125,0.254137367244605,0.285141552714546,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
K001,2.67297074188318,2.88820799277102,2.25252702457984,2.43390862996904,K,Enseres domésticos y mantenimiento de la vivienda,1,1,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
I016,1.42806918229826,1.56660398015875,1.56116943199513,1.71261608063673,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I017,1.48017577559905,1.61633828345158,0.938390642984443,1.02471391985499,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
K028,1.41697275068114,1.4898846195659,,,K,Enseres domésticos y mantenimiento de la vivienda,1,,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
H053,0.257979553703965,0.268049093165677,0.341757343744295,0.355096924380643,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H072,4.15398541216026,4.38986046379542,1.59892030433247,1.68971152575585,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H117,1.18870956967623,1.24526495465012,0.868202384751452,0.909508959004272,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
M012,8.19761368908715,9.43969251432782,,,M,Transporte,1,,17.0507307000677,23.5162869106015,3,5,1.01513214825867,0.512742615027243
C018,0.673292648946375,0.749545411429676,1.37926503040359,1.5354716501097,C,Limpieza y cuidados de la casa,1,1,86.0705014431802,112.302620753512,14,14,4.84778915540434,2.58827699310898
F004,0.292199202848245,0.289209373852829,0.326215650924133,0.322877760189373,F,Comunicaciones y servicios para vehículos,1,1,373.718595277249,171.328337536329,4,4,7.39576379562,11.2383130786297
H122,0.0233640816889665,0.0252955534536724,0.0352391024033008,0.038152263391678,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
I024,0.0844802360921522,0.0928631001797497,0.151572641393501,0.166612997706117,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
H045,0.276395884454426,0.28718425595755,0.246048461637585,0.255652302943537,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H046,0.461999082786707,0.487313410079816,0.479367649043272,0.505633652621491,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H115,1.84697650540396,1.94416881969821,0.933533182799723,0.982657928155885,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
I014,6.15531290352888,7.21109357476512,5.06420897574436,5.93283970751864,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
J059,0.512540710614655,0.571098947576478,0.644468505374882,0.718099611491149,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
K009,6.16833183834208,6.74433697560993,5.96258315573055,6.51937527053524,K,Enseres domésticos y mantenimiento de la vivienda,1,1,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
K026,2.09780576583077,2.15411679469135,,,K,Enseres domésticos y mantenimiento de la vivienda,1,,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
